Epochs,Learning Rate,Depth,Width,Mean
10,0.001,2,5,12.538539218169566
10,0.001,2,10,9.344794048610108
10,0.001,2,15,23.49866039713706
10,0.001,2,20,25.193883765179898
10,0.001,5,5,20.72983792263657
10,0.001,5,10,16.741777210672574
10,0.001,5,15,17.87176586493111
10,0.001,5,20,17.670970405622707
10,0.001,10,5,10.732860520094563
10,0.001,10,10,14.860849453606662
10,0.001,10,15,16.410423948128138
10,0.001,10,20,16.039767735853097
20,0.001,2,5,16.75286453355593
20,0.001,2,10,21.900594825310538
20,0.001,2,15,38.95123433556977
20,0.001,2,20,31.903280564481342
20,0.001,5,5,17.85677139359644
20,0.001,5,10,20.0636683174438
20,0.001,5,15,24.137921220603214
20,0.001,5,20,19.546487972480616
20,0.001,10,5,10.732860520094563
20,0.001,10,10,20.455355068172974
20,0.001,10,15,21.05236457261621
20,0.001,10,20,15.614288103777799
10,0.01,2,5,27.654159308402633
10,0.01,2,10,39.46134292466526
10,0.01,2,15,55.35753332408474
10,0.01,2,20,51.827975378066625
10,0.01,5,5,24.67900696766001
10,0.01,5,10,33.05360742497299
10,0.01,5,15,39.52467847471049
10,0.01,5,20,39.03186652212405
10,0.01,10,5,10.732860520094563
10,0.01,10,10,21.35433873727909
10,0.01,10,15,34.82901303001296
10,0.01,10,20,27.912655551623253
20,0.01,2,5,28.160059127304237
20,0.01,2,10,44.44378109928496
20,0.01,2,15,55.53615762478986
20,0.01,2,20,56.795154301370964
20,0.01,5,5,32.57985791246011
20,0.01,5,10,29.073285837774886
20,0.01,5,15,44.600236264279445
20,0.01,5,20,42.71081554345016
20,0.01,10,5,10.732860520094563
20,0.01,10,10,24.590342372898096
20,0.01,10,15,30.5487029932481
20,0.01,10,20,23.722935582607942
10,0.001,2,100,40.05523449694315
10,0.001,5,100,28.433238757030388
10,0.001,10,100,18.531653948210057
20,0.001,2,100,47.39128420781161
20,0.001,5,100,42.82071298515575
20,0.001,10,100,20.36073802461896
10,0.01,2,100,59.131818535693604
10,0.01,5,100,50.55584449115733
10,0.01,10,100,38.67675748456783
20,0.01,2,100,59.52487776208413
20,0.01,5,100,55.385897807386
20,0.01,10,100,47.17232071238694